local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
6.2,10.4,2.8379245095710397,1.475,2.441269841269841,2.9854245095710397,2.6,1.7,1.6
5.1,11.4,2.8408820001177273,2.4625,2.4484496124031003,3.087132000117727,1.0,1.9,2.3
7.2,10.1,3.4042128667899134,2.4625,2.4583333333333335,3.6504628667899133,3.3,1.8,2.3
5.3,11.1,3.2498455575280993,2.375,2.4644444444444447,3.487345557528099,0.7,1.8,2.2
7.1,9.6,3.362320026778108,1.8250000000000002,2.4713768115942027,3.5448200267781083,2.4,2.3,2.0
8.8,10.0,3.284652693416321,1.3625,2.4854609929078015,3.420902693416321,2.4,1.7,1.3
8.6,11.1,6.508891624616917,3.0374999999999996,2.502083333333333,6.812641624616917,0.8,3.4,2.7
8.6,9.2,4.125339186342028,1.9124999999999999,2.51156462585034,4.3165891863420285,3.6,2.5,2.1
6.9,10.7,3.295102690145729,1.6875,2.5200000000000005,3.463852690145729,1.7,1.8,1.5
8.1,10.9,4.38586757691956,1.7125000000000001,2.5326797385620914,4.55711757691956,1.5,2.0,1.7
9.0,10.7,4.861153801301463,2.0375,2.5471153846153847,5.064903801301464,1.6,2.4,1.9
9.1,10.4,4.526346616651675,2.725,2.5603773584905665,4.798846616651675,4.8,1.6,2.6
7.2,12.6,4.175263148947356,2.425,2.574074074074074,4.417763148947356,2.6,2.6,2.6
6.6,12.6,4.408950871342017,1.8875000000000002,2.5854545454545454,4.597700871342017,1.5,2.5,1.9
6.5,12.2,3.2595291903397965,2.0375,2.594940476190476,3.4632791903397964,1.3,1.6,1.9
8.5,11.6,5.004541390190594,2.7125000000000004,2.6081871345029244,5.275791390190594,2.1,2.6,2.5
7.5,11.2,4.288927211591529,2.0625,2.616954022988506,4.495177211591529,2.3,2.0,2.1
7.4,11.4,4.435025931239264,2.5625,2.6257062146892656,4.691275931239264,2.6,2.2,2.5
7.7,11.5,4.345217448992163,1.8000000000000003,2.635277777777778,4.525217448992163,3.2,2.1,1.8
7.2,12.9,4.447301845010816,2.4625,2.6469945355191262,4.693551845010816,0.7,2.5,2.3
9.6,11.3,5.221118211807725,2.7125000000000004,2.6604838709677425,5.492368211807725,4.3,2.2,2.5
8.0,13.1,4.024252098609763,3.05,2.674074074074074,4.3292520986097625,3.4,1.8,2.8
6.2,13.7,4.127979759846317,2.225,2.6841145833333333,4.350479759846317,1.4,2.3,2.2
7.0,12.9,5.614762845712853,2.6999999999999997,2.693846153846154,5.884762845712853,0.9,2.8,2.4
8.2,11.4,5.924698833376909,2.8,2.7025252525252528,6.204698833376909,2.2,2.8,2.6
8.2,11.0,4.5314213992765335,2.15,2.709950248756219,4.746421399276533,2.6,2.3,2.2
8.1,11.4,5.562274577239695,2.3625,2.717892156862745,5.798524577239695,3.1,2.6,2.1
7.6,12.4,3.463240189356261,2.125,2.7268115942028985,3.675740189356261,2.0,2.0,2.0
8.2,12.4,4.634376320216099,2.15,2.7369047619047615,4.849376320216098,2.5,2.4,2.2
8.9,12.7,4.888174376878647,2.0375,2.7490610328638496,5.091924376878647,1.5,2.5,1.9
