local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
9.7,11.0,4.914471338649257,3.0374999999999996,2.530263157894737,5.218221338649257,2.9,2.5,2.7
10.7,11.2,3.0333920964631624,2.0625000000000004,2.558974358974359,3.2396420964631627,4.4,1.2,2.1
10.3,13.5,5.8608491425632065,3.0374999999999996,2.5941666666666667,6.1645991425632065,3.7,2.6,2.7
8.7,14.5,6.406442356212019,3.0374999999999996,2.62520325203252,6.710192356212019,0.8,3.2,2.7
9.0,12.6,4.857063308279853,2.6999999999999997,2.648412698412698,5.127063308279853,4.7,2.3,2.4
7.7,14.9,5.722487800580953,2.6999999999999997,2.674418604651163,5.992487800580952,1.7,2.9,2.4
10.2,14.2,4.888373448380738,2.375,2.7060606060606056,5.125873448380738,2.9,2.4,2.2
9.1,14.9,6.04005135114592,2.8999999999999995,2.734814814814815,6.33005135114592,1.6,3.1,2.8
10.8,13.7,5.198691040392951,3.3749999999999996,2.764130434782609,5.536191040392952,2.3,2.7,3.0
9.4,13.0,4.924761963586042,3.3749999999999996,2.7847517730496456,5.262261963586043,1.4,2.7,3.0
12.0,11.4,4.761766144518179,3.05,2.807986111111111,5.066766144518179,6.6,1.7,2.8
9.5,15.2,4.155626242327185,3.05,2.834693877551021,4.4606262423271845,5.1,2.0,2.8
8.1,17.5,6.014881165421927,3.0374999999999996,2.8633333333333333,6.318631165421927,0.8,3.1,2.7
9.4,15.6,5.530150526991747,3.1374999999999997,2.8888888888888884,5.843900526991747,4.3,2.4,2.9
6.0,17.0,4.926316779161698,3.0374999999999996,2.907051282051282,5.230066779161698,0.6,2.7,2.7
8.7,14.9,7.207822291542408,3.1374999999999997,2.9264150943396223,7.521572291542408,0.5,3.6,2.9
11.3,12.5,6.435142846241659,3.0374999999999996,2.9456790123456793,6.738892846241659,2.0,3.2,2.7
11.2,11.8,4.284626387335578,2.5625,2.961818181818182,4.540876387335578,4.7,2.1,2.5
8.9,14.0,6.515852096049292,3.3749999999999996,2.9770833333333337,6.853352096049292,1.7,3.4,3.0
8.7,12.7,6.837499999999999,3.1374999999999997,2.9874269005847958,7.151249999999998,0.0,3.7,2.9
8.7,9.8,4.473354826757051,2.6999999999999997,2.989080459770115,4.7433548267570504,2.3,2.3,2.4
7.9,9.7,4.230698563996919,2.4875000000000003,2.9881355932203393,4.479448563996919,2.3,2.2,2.5
9.5,9.5,4.973317627320416,3.3749999999999996,2.991111111111111,5.310817627320416,3.9,2.6,3.0
8.2,10.4,3.8322457595540653,2.4875000000000003,2.9928961748633878,4.080995759554066,5.1,2.0,2.5
6.7,13.0,2.1170645762029783,2.3625,2.99758064516129,2.3533145762029783,4.8,0.6,2.1
6.8,15.7,6.837499999999999,3.3749999999999996,3.0095238095238095,7.174999999999999,0.0,3.7,3.0
8.9,12.7,5.200551806291229,2.8125,3.01875,5.481801806291229,2.6,2.4,2.7
9.3,12.6,3.455887501739725,3.3749999999999996,3.028461538461538,3.793387501739725,4.6,1.5,3.0
7.8,14.2,6.107214840838271,3.3749999999999996,3.0381313131313132,6.444714840838271,1.7,3.3,3.0
6.9,12.9,4.870062026835032,3.0374999999999996,3.0420398009950254,5.173812026835032,2.8,2.1,2.7
6.6,13.0,6.047609527031002,3.3749999999999996,3.045343137254902,6.385109527031003,1.0,3.3,3.0
8.8,11.0,5.66953478433716,2.15,3.0490338164251205,5.88453478433716,2.1,2.8,2.2
7.8,10.9,4.286402602313285,3.0374999999999996,3.05,4.590152602313285,2.0,2.5,2.7
8.6,10.2,5.223203768775379,3.3749999999999996,3.051173708920188,5.5607037687753795,2.7,2.7,3.0
9.8,9.9,6.463170488656927,3.0374999999999996,3.054398148148148,6.766920488656927,1.6,3.2,2.7
9.4,8.8,5.106150737518813,2.8,3.0541095890410954,5.386150737518813,4.4,2.5,2.6
7.1,10.6,4.6254036538340495,2.6999999999999997,3.0527027027027023,4.895403653834049,3.9,2.2,2.4
5.1,12.1,3.601173039108853,2.8999999999999995,3.050222222222222,3.891173039108853,0.6,2.3,2.8
